Row Labels,Sum of Confirmed,Column1,,,,,,,,,,,,
Guatemala,45309,,,,,,,,,,,,,
Guatemala Average,45309,,,,,,,,,,,,,
Guinea,7055,,,,,,,,,,,,,
Guinea Average,7055,,,,,,,,,,,,,
Guinea-Bissau,1954,,,,,,,,,,,,,
Guinea-Bissau Average,1954,,,,,,,,,,,,,
Guyana,389,,,,,,,,,,,,,
Guyana Average,389,,,,,,,,,,,,,
Haiti,7340,,,,,,,,,,,,,
Haiti Average,7340,,,,,,,,,,,,,
Holy See,12,,,,,,,,,,,,,
Holy See Average,12,,,,,,,,,,,,,
Honduras,39741,,,,,,,,,,,,,
Honduras Average,39741,,,,,,,,,,,,,
Hungary,4448,,,,,,,,,,,,,
Hungary Average,4448,,,,,,,,,,,,,
Iceland,1854,,,,,,,,,,,,,
Iceland Average,1854,,,,,,,,,,,,,
India,1480073,,,,,,,,,,,,,
India Average,1480073,,,,,,,,,,,,,
Indonesia,100303,,,,,,,,,,,,,
Indonesia Average,100303,,,,,,,,,,,,,
Iran,293606,,,,,,,,,,,,,
Iran Average,293606,,,,,,,,,,,,,
Iraq,112585,,,,,,,,,,,,,
Iraq Average,112585,,,,,,,,,,,,,
Ireland,25892,,,,,,,,,,,,,
Ireland Average,25892,,,,,,,,,,,,,
Israel,63985,,,,,,,,,,,,,
Israel Average,63985,,,,,,,,,,,,,
Italy,246286,,,,,,,,,,,,,
Italy Average,246286,,,,,,,,,,,,,
Jamaica,853,,,,,,,,,,,,,
Jamaica Average,853,,,,,,,,,,,,,
Japan,31142,,,,,,,,,,,,,
Japan Average,31142,,,,,,,,,,,,,
Jordan,1176,,,,,,,,,,,,,
Jordan Average,1176,,,,,,,,,,,,,
Kazakhstan,84648,,,,,,,,,,,,,
Kazakhstan Average,84648,,,,,,,,,,,,,
Kenya,17975,,,,,,,,,,,,,
Kenya Average,17975,,,,,,,,,,,,,
Kosovo,7413,,,,,,,,,,,,,
Kosovo Average,7413,,,,,,,,,,,,,
Kuwait,64379,,,,,,,,,,,,,
Kuwait Average,64379,,,,,,,,,,,,,
Kyrgyzstan,33296,,,,,,,,,,,,,
Kyrgyzstan Average,33296,,,,,,,,,,,,,
Laos,20,,,,,,,,,,,,,
Laos Average,20,,,,,,,,,,,,,
Latvia,1219,,,,,,,,,,,,,
Latvia Average,1219,,,,,,,,,,,,,
Lebanon,3882,,,,,,,,,,,,,
Lebanon Average,3882,,,,,,,,,,,,,
Lesotho,505,,,,,,,,,,,,,
Lesotho Average,505,,,,,,,,,,,,,
Liberia,1167,,,,,,,,,,,,,
Liberia Average,1167,,,,,,,,,,,,,
Libya,2827,,,,,,,,,,,,,
Libya Average,2827,,,,,,,,,,,,,
Liechtenstein,86,,,,,,,,,,,,,
Liechtenstein Average,86,,,,,,,,,,,,,
Lithuania,2019,,,,,,,,,,,,,
Lithuania Average,2019,,,,,,,,,,,,,
Luxembourg,6321,,,,,,,,,,,,,
Luxembourg Average,6321,,,,,,,,,,,,,
Madagascar,9690,,,,,,,,,,,,,
Madagascar Average,9690,,,,,,,,,,,,,
Malawi,3664,,,,,,,,,,,,,
Malawi Average,3664,,,,,,,,,,,,,
Malaysia,8904,,,,,,,,,,,,,
Malaysia Average,8904,,,,,,,,,,,,,
Maldives,3369,,,,,,,,,,,,,
Maldives Average,3369,,,,,,,,,,,,,
Mali,2513,,,,,,,,,,,,,
Mali Average,2513,,,,,,,,,,,,,
Malta,701,,,,,,,,,,,,,
Malta Average,701,,,,,,,,,,,,,
Mauritania,6208,,,,,,,,,,,,,
Mauritania Average,6208,,,,,,,,,,,,,
Mauritius,344,,,,,,,,,,,,,
Mauritius Average,344,,,,,,,,,,,,,
Mexico,395489,,,,,,,,,,,,,
Mexico Average,395489,,,,,,,,,,,,,
Moldova,23154,,,,,,,,,,,,,
Moldova Average,23154,,,,,,,,,,,,,
Monaco,116,,,,,,,,,,,,,
Monaco Average,116,,,,,,,,,,,,,
Mongolia,289,,,,,,,,,,,,,
Mongolia Average,289,,,,,,,,,,,,,
Montenegro,2893,,,,,,,,,,,,,
Montenegro Average,2893,,,,,,,,,,,,,
Morocco,20887,,,,,,,,,,,,,
Morocco Average,20887,,,,,,,,,,,,,
Mozambique,1701,,,,,,,,,,,,,
Mozambique Average,1701,,,,,,,,,,,,,
Namibia,1843,,,,,,,,,,,,,
Namibia Average,1843,,,,,,,,,,,,,
Nepal,18752,,,,,,,,,,,,,
Nepal Average,18752,,,,,,,,,,,,,
Netherlands,53413,,,,,,,,,,,,,
Netherlands Average,53413,,,,,,,,,,,,,
New Zealand,1557,,,,,,,,,,,,,
New Zealand Average,1557,,,,,,,,,,,,,
Nicaragua,3439,,,,,,,,,,,,,
Nicaragua Average,3439,,,,,,,,,,,,,
Niger,1132,,,,,,,,,,,,,
Niger Average,1132,,,,,,,,,,,,,
Nigeria,41180,,,,,,,,,,,,,
Nigeria Average,41180,,,,,,,,,,,,,
North Macedonia,10213,,,,,,,,,,,,,
North Macedonia Average,10213,,,,,,,,,,,,,
Norway,9132,,,,,,,,,,,,,
